ID_Empreendimento;Nome_Local;Cidade;Corede_Regiao;Tipo_Estabelecimento;Endereco_Completo;Preco_Medio;Nota_Avaliacao;Link_Acesso;Contato_Telefonico;Campo_Extra_Observacoes
1;Moura Hotel;Alecrim;Fronteira Noroeste;Hotel;Moura Hotel;0,00;4,2;https://www.facebook.com/p/MOURA-HOTEL-100054476409686/?locale=pt_BR;(55) 99991-7066;
2;Pousada Felicidade;Alecrim;Fronteira Noroeste;Pousada;Pousada Felicidade - Pesca & Lazer & Natureza;0,00;4,8;https://www.instagram.com/pousadafelicidadepescaelazer/;(55) 99962-1829;
3;Restaurante e Pousada Aconchego;Alegria;Fronteira Noroeste;Pousada;Restaurante e Pousada Aconchego;0,00;4,3;https://www.facebook.com/restauranteepousadaaconchego/?locale=pt_BR;(55) 99996-7259;
4;Hotel Schwab;Boa Vista do Buricá;Fronteira Noroeste;Hotel;HOTEL SCHWAB;349,00;4,2;https://lschwab.com.br/;(55) 3538-1140;
5;Engel Palace Hotel;Boa Vista do Buricá;Fronteira Noroeste;Hotel;Engel Palace Hotel;0,00;4,4;https://engelpalacehotel.com.br/;(55) 9622-8909;
6;Andino Hotel;Campina das Missões;Fronteira Noroeste;Hotel;Andino Hotel;0,00;4,8;https://www.instagram.com/andino.hotel/;(55) 98466-5398;
7;Kastello - Hotel & Restaurante;Campina das Missões;Fronteira Noroeste;Hotel;Kastello - Hotel & Restaurante;0,00;4,8;https://www.instagram.com/kastellohotel/;(51) 99821-0694;
8;Chácara Ludwig;Campina das Missões;Fronteira Noroeste;Pousada;Chácara Ludwig;490,00;4,9;https://www.chacaraludwig.com.br/;(55) 98115-9007;Diversas opções de suítes temáticas
9;Hotel e Pousada Vó Clara;Cândido Godói;Fronteira Noroeste;Hotel;Hotel e Pousada Vó Clara;0,00;4,3;https://www.google.com/maps/place/Hotel+e+Pousada+V%C3%B3+Clara/data=!4m2!3m1!19sChIJPRvLz0cq-ZQR7zsaFF1DABo;(55) 99683-7751;Atualizado
10;Hotel Avenida;Doutor Maurício Cardoso;Fronteira Noroeste;Hotel;Hotel Avenida;0,00;4;https://www.facebook.com/profile.php?id=100067088897420&locale=zh_CN#;(55) 3534-1236;
11;Hotel Restaurante Taffarel;Doutor Maurício Cardoso;Fronteira Noroeste;Hotel;Hotel Restaurante Taffarel;0,00;4,4;https://www.instagram.com/hoteltaffarel/;(55) 99707-6792;
12;Chalé Altitude 363;Horizontina;Fronteira Noroeste;Cabana/Chalé;Chalé Altitude 363;750,00;5;https://www.instagram.com/chalealtitude363/;(55) 99715-6858;
13;Refúgio Bela Vista;Horizontina;Fronteira Noroeste;Cabana/Chalé;Refúgio Bela Vista;595,00;5;https://www.refugiobelavistahz.com.br/;(55) 99937-2628;
14;Recanto das Águias;Horizontina;Fronteira Noroeste;Cabana/Chalé;Recanto das Águias;0,00;4,9;https://www.instagram.com/recanto_das_aguias_hz/;(55) 99141-1464;
15;Hotel Stein Garten;Horizontina;Fronteira Noroeste;Hotel;Hotel Stein Garten;0,00;4,3;https://www.facebook.com/steingartenhotelhorizontina/?locale=pt_BR;(55) 99702-9796;
16;Hotel Avenida;Horizontina;Fronteira Noroeste;Hotel;Hotel Avenida;0,00;4,1;https://www.facebook.com/profile.php?id=697263303659775&_rdr;(55) 3537-1633;
17;Hotel Ouro Verde;Horizontina;Fronteira Noroeste;Hotel;Hotel Ouro Verde;0,00;4,4;https://www.facebook.com/pages/Hotel%20Ouro%20Verde/227798163920274/;(55) 3537-1122;
18;Pousada Recanto do Sol;Horizontina;Fronteira Noroeste;Pousada;Pousada Recanto do Sol;320,00;4,4;https://www.recantodosolpousada.com.br/;(55) 3537-3575;
19;Hotel Dal Sotto;Independência;Fronteira Noroeste;Hotel;Hotel Dal Sotto;0,00;4,2;https://www.facebook.com/hotelemercadodalsotto/?locale=pt_BR;(55) 99634-9824;
20;Costana Frontier Resort;Novo Machado;Fronteira Noroeste;Resort;Costana Resort;0,00;5;htttps://www.costanaresort.com.br;(55) 98426-9400;
21;Casa Uruguai;Porto Lucena;Fronteira Noroeste;Cabana/Chalé;Casa Uruguai;0,00;4,8;https://www.instagram.com/uruguaicasa/;(55) 99902-8973;
22;Chalé Horizonte do Vale;Porto Lucena;Fronteira Noroeste;Cabana/Chalé;Chalé Horizonte do Vale;0,00;5;https://www.instagram.com/chalehorizontedovale/;(55) 99638-5600;
23;Cabana do Sol;Porto Lucena;Fronteira Noroeste;Cabana/Chalé;Cabana do Sol;0,00;0;https://www.instagram.com/cabana_do_sol?igsh=MXRsczRuanlscnRuaA%3D%3D;(55) 99734-4075;Em construção
24;Pousada da Polaca;Porto Lucena;Fronteira Noroeste;Pousada;POUSADA POLACA;0,00;4,6;https://www.facebook.com/p/Pousada-da-Polaca-100054474039625/?locale=pt_BR;(55) 99639-2184;
25;CASA WEISS - HOTEL WEISS;Porto Mauá;Fronteira Noroeste;Hotel;CASA WEISS - HOTEL WEISS;0,00;4,6;https://www.instagram.com/casaweisshotelweiss/;(55) 99952-5386;
26;Empresa Zamberlan : Hotel, Rodoviária;Porto Mauá;Fronteira Noroeste;Hotel;Empresa Zamberlan : Hotel, Rodoviária;70,00;4;https://empresa-zamberlan-porto-maua-rs-hotel-rodoviaria.webnode.page/;(55) 3545-1250;
